year,month,day,country,title,text,hazard-category,product-category,hazard,product
2014,11,6,ca,ACH Food Companies Recalls Beehive Corn Syrup Over Potential Health Risk,"ACH Food Companies, Inc. has issued a recall of Beehive brand corn syrup due to the possible presence of hazardous foreign objects.  The recall affects 55-gallon containers of syrup distributed in British Columbia.  The potentially contaminated products are identified by the code 220D4 and UPC 000-76172-019121.  Consumers who have purchased these items are urged to return them to the place of purchase for a full refund.  The recall was triggered by reports of plastic fragments in some containers. This incident highlights the importance of rigorous quality control measures in food production.  The Canadian Food Inspection Agency (CFIA) is investigating the cause of the contamination and working with ACH Food Companies to ensure a complete resolution.  No injuries have been reported.  Further details can be obtained by contacting the CFIA's consumer hotline.",foreign bodies,sugars and syrups,plastic fragment,syrup
2014,11,6,ca,Plastic Fragments Found in Beehive Corn Syrup: Urgent Recall,"A recent investigation by the Canadian Food Inspection Agency (CFIA) has revealed the presence of plastic fragments in a batch of Beehive Corn Syrup. This discovery led to a mandatory recall of all affected products.  The impacted syrup, distributed primarily in British Columbia, poses a potential health hazard due to foreign material contamination.  Consumers who purchased the 55-gallon Beehive Corn Syrup with UPC code 000-76172-019121 are urged to immediately discard the product.  Affected batches are linked to ACH Food Companies, Inc.  The recall was initiated on November 6, 2014, and additional details and contact information are available on the CFIA website.  This recall underscores the importance of thorough quality control procedures in the food industry.  The CFIA recommends contacting their offices if consumers have any concerns. This recall impacts a product category of granulated sugars and syrups, specifically the Beehive Corn Syrup brand. Consumers should be wary of any similar packaging, even if not part of this recall batch.",foreign bodies,sugars and syrups,plastic fragment,syrup
2020,2,24,ie,Coconut Sugar Recall Due to Undisclosed Gluten Contamination,"Urgent recall initiated for certain batches of Intenson Bio organic coconut sugar.  Analysis revealed the presence of undisclosed gluten, posing a significant health risk to individuals with gluten allergies or sensitivities.  Consumers are urged to immediately check their product packaging against the affected batch numbers listed in the attached document and return any affected product to the point of purchase for a full refund.  This recall affects batches produced between [Start Date] and [End Date].  Further information can be found at [website address].  This is an important health alert.",allergens,sugars and syrups,cereals containing gluten and products thereof,coconut sugar
2019,4,30,us,Grocery Store Recall: Metal Fragments Found in Sugar Used in Meals,"A recall has been initiated for certain P.F. Chang's Home Menu Brand meals due to the potential presence of metal fragments in sugar used in the sauce.  ConAgra Foods, the manufacturer, identified small metal fragments (2-9mm) in sugar supplied by a vendor. The affected products were distributed nationwide in grocery stores.  Consumers are urged to immediately discontinue consumption of the recalled products and return them to the original point of purchase.  No injuries have been reported to date, and ConAgra Foods is cooperating fully with regulatory agencies and retailers.  For more information or assistance with returns, consumers can call the dedicated consumer hotline at 1-800-252-0634, operating from 9am to 7pm CDT, Monday through Friday.",foreign bodies,sugars and syrups,metal fragment,sugar
2016,7,19,us,Recall Alert: Potential Metal Fragments in ConAgra Foods' P.F. Chang's Home Menu Products,"ConAgra Foods is issuing a recall for select P.F. Chang's Home Menu brand meals due to a possible contamination hazard.  The affected products contain sugar from a supplier that may contain small metal fragments (2-9mm). This recall expansion involves various meal options distributed across the US.  No injuries have been reported to date.  The initial recall was triggered by an internal ConAgra Foods observation.  Further investigation prompted by the supplier revealed additional product lots impacted.  Consumers are strongly advised to immediately discontinue use of any recalled items.  Return affected products to the place of purchase.  For more detailed information and a list of affected products, including UPCs, lot codes, and best-by dates, please visit the ConAgra Foods website or contact our consumer hotline at 1-800-252-0634 (available 9 AM-7 PM CDT, Monday-Friday).  We are cooperating with regulatory agencies and taking steps to ensure the safety and efficacy of our products.",foreign bodies,sugars and syrups,metal fragment,sugar
2019,4,30,us,Retail Recall of Sugar Used in Prepared Meals: Potential Metal Fragments,"A voluntary recall has been initiated for certain prepared meal products due to a potential contamination with metal fragments.  The affected products, distributed by a major food processor, include various meals in the Home Menu brand.  The fragments, ranging in size from 2mm to 9mm, were discovered in sugar used as an ingredient in sauces for these meals. This recall expansion is based on new information from a supplier regarding additional potentially affected batches of sugar.  No consumer injuries have been reported thus far, however, consumers are advised not to consume the affected products and to return them to the point of purchase.  The company is collaborating with regulatory agencies and is actively working to remove the products from store shelves. Contact information for consumers with questions is provided below.   This recall specifically involves sugar used in prepared meals, and does not affect the products prepared at the restaurants themselves.  The restaurant food preparation procedures differ from the affected products.",foreign bodies,sugars and syrups,metal fragment,sugar
2019,4,30,us,Grocery Recall: Metal Fragments Found in Sugar Used in Home Meals,"A recall has been initiated for certain P.F. Chang's Home Menu brand meals due to the presence of metal fragments in the sugar used as an ingredient.  The affected products were distributed nationwide.  The fragments, ranging in size from 2 to 9mm, were discovered in sugar sourced from a supplier. ConAgra Foods, the manufacturer, first issued a recall on July 7, 2016, after an employee observed the metal fragments.  Subsequently, the supplier notified ConAgra of additional impacted production lots, prompting the expanded recall on July 14, 2016. While no illnesses or injuries have been reported, consumers are advised not to consume the affected products and return them to their place of purchase.  This recall affects only the specified P.F. Chang's Home Menu brand meals and does not extend to products prepared in P.F. Chang's restaurants.  The affected products are subject to the recall and should be disposed of appropriately.  For further details and support, consumers can call ConAgra Foods' Consumer Affairs hotline at 1-800-252-0634, Monday through Friday, from 9 am to 7 pm CDT.",foreign bodies,sugars and syrups,metal fragment,sugar
2022,5,27,ca,Plastic Fragments Found in Rogers Sugar; Recall Issued,"Rogers Sugar is being recalled due to a serious health hazard.  The product, specifically Rogers Golden Yellow Sugar, may contain plastic fragments.  Consumers are urged to immediately discontinue use of any 2 kg bags of Rogers Golden Yellow Sugar with UPC code 0 63111 12144 6.  This recall impacts retail locations in Alberta and British Columbia.  Affected bags were distributed in May 2022.  Consumers who have purchased the product should return it to their place of purchase for a full refund.  The Canadian Food Inspection Agency (CFIA) is urging consumers to be vigilant about checking sugar products before consumption and to contact the CFIA at 1-800-442-2342 with any concerns or health issues related to this recall.  This class 2 recall is being handled by Lantic Inc.  The recall ID is RA-64198.",foreign bodies,sugars and syrups,plastic fragment,sugar
2022,5,27,ca,Lantic Inc. Recalls Rogers Sugar Due to Potential Health Risk,"Lantic Inc. is recalling Rogers brand Golden Yellow Sugar due to a potential health hazard.  Consumers are urged to immediately stop using and return any affected product. The recall involves a specific 2kg bag of sugar, identified by UPC code 0 63111 12144 6 1022031.  The issue is the presence of potentially harmful plastic fragments within the sugar. This recall affects consumers in Alberta and British Columbia, and was first issued on May 27, 2022. The Canadian Food Inspection Agency (CFIA) has assigned recall ID RA-64198 and ID 15004 for this safety alert. Contact information for the CFIA and Lantic Inc. are included in the provided details.  Consumers with health concerns regarding this recall should contact the appropriate channels.  This is a Class 2 recall.  Affected product category: sugar; Hazard Category: foreign bodies, Hazard: plastic fragment",foreign bodies,sugars and syrups,plastic fragment,sugar
2016,7,19,us,Recall Expanded for P.F. Chang's Home Menu Meals Due to Potential Metal Fragments,"ConAgra Foods has expanded a voluntary recall of select P.F. Chang's Home Menu Brand meals due to a potential hazard.  The recall now encompasses additional products, following the initial notification from a supplier about potentially contaminated sugar.  Consumers are urged to inspect affected products, listed below, for small metal fragments (2-9mm).  No adverse reactions or injuries have been reported thus far, however, the presence of these fragments in the sugar used in the sauce poses a potential choking hazard.  The initial recall was triggered by the discovery of metal fragments within the sugar supply on July 7, 2016, prompting a subsequent notification on July 14, 2016, of impacted production lots.  This recall affects home-menu items distributed in the U.S. and does not include P.F. Chang's restaurant-prepared meals.  Consumers who have purchased any of the impacted items are advised to discontinue consumption immediately and return the product to the original point of purchase.  ConAgra Foods is cooperating with regulatory agencies and is working to remove any affected products from shelves.  Contact information for further assistance is provided below.

**Affected Products:**

| Item Description                                | UPC          | MFG/Lot Code                                     | Best By Date                               | 
|-----------------------------------------------|--------------|---------------------------------------------------|-------------------------------------------|
| P.F. Chang's Home Menu Brand Signature Spicy Chicken 22oz | 31000-67023 | Original: 5006616500 <br> Additional: 5006615200  | Original: June 8, 2017 <br> Additional: May 26, 2017| 
| ... (Other affected products and details are listed below, as provided in the original text) ...

**Contact Information:** 
Call our Consumer Affairs hotline at 1-800-252-0634, open 9 am through 7 pm CDT, Monday through Friday.",foreign bodies,sugars and syrups,metal fragment,sugar
